PJ Fresh (224 Daniel Payne Drive),"224 Daniel Payne Drive, Birmingham, AL, 35207",url
J' ti`'z Smoothie-N-Coffee Bar,"1521 Pinson Valley Parkway, Birmingham, AL, 35217",url
Philly Fresh Cheesesteaks (541-B Graymont Ave),"541-B Graymont Ave, Birmingham, AL, 35204",url
Papa Murphy's (1580 Montgomery Highway),"1580 Montgomery Highway, Hoover, AL, 35226",url
Nelson Brothers Cafe (17th St N),"314 17th St N, Birmingham, AL, 35203",url
Ocean Restaurant,"1218 20th Street South, Birmingham, AL, 35205",url
Jinsei Sushi,"1830 29th Ave S, Birmingham, AL, 35209",url
Little India,"2236 Highland Ave, Birmingham, AL, 35205",url
Captain D's (1284 Decatur Hwy),"1284 Decatur Hwy, Gardendale, AL, 35071",url
Cajun Bistro Express,"1515 Pearson Ave SW, Birmingham, AL, 35211",url
